GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "00000","United States", ,SAINC7N,539,"324","     Petroleum and coal products manufacturing","Thousands of dollars",7260000,7515000,7450000,7765000,7809000,7964000,8395000,9075000,9700000,10702000,10857000,10588000,10580000,11257000,11926000,11983000,12132000,12653000,12613000,12898000,13390000,13919000
 "00000","United States", ,SAINC7N,541,"325","     Chemical manufacturing","Thousands of dollars",53695000,55768000,59184000,58592000,57691000,59121000,60827000,62971000,63580000,66757000,66773000,65089000,65753000,66558000,69208000,71497000,75472000,78453000,77090000,79153000,81024000,85282000
 "00000","United States", ,SAINC7N,542,"326","     Plastics and rubber products manufacturing","Thousands of dollars",30584000,32143000,33401000,31768000,31601000,31410000,32080000,32448000,33223000,32707000,32118000,28128000,29400000,30370000,31530000,32534000,34198000,35699000,37030000,38836000,40468000,41243000
 "00000","United States", ,SAINC7N,600,"42","   Wholesale trade","Thousands of dollars",241916000,259280000,282213000,285184000,282488000,289906000,307412000,324775000,349162000,371615000,376419000,349290000,354692000,373991000,393447000,401888000,420661000,438637000,441326000,457360000,465349000,481578000
 "00000","United States", ,SAINC7N,700,"44-45","   Retail trade","Thousands of dollars",301718000,322192000,345354000,354165000,359187000,367010000,379939000,392782000,407214000,419750000,414425000,393501000,398767000,410896000,426512000,436713000,456002000,481773000,494589000,510540000,527435000,540792000
 "00000","United States", ,SAINC7N,701,"441","    Motor vehicle and parts dealers","Thousands of dollars",58447000,63374000,67244000,70334000,72399000,73791000,75782000,78091000,79874000,81028000,75812000,66915000,69604000,74349000,78896000,83004000,88480000,95183000,98379000,101164000,104131000,108280000
 "00000","United States", ,SAINC7N,702,"442","    Furniture and home furnishings stores","Thousands of dollars",12698000,13820000,15086000,15214000,15505000,15910000,16643000,17282000,18198000,18094000,16555000,13953000,13636000,13968000,14222000,14711000,15507000,16697000,17231000,17898000,18661000,18897000
 "00000","United States", ,SAINC7N,703,"443","    Electronics and appliance stores","Thousands of dollars",17755000,19731000,21757000,21000000,19434000,18648000,18907000,19762000,20708000,21597000,21927000,19900000,21039000,22691000,23070000,21947000,22387000,24864000,24093000,24039000,24322000,24220000
 "00000","United States", ,SAINC7N,704,"444","    Building material and garden equipment and supplies dealers","Thousands of dollars",25870000,28005000,30279000,31214000,31993000,33386000,36246000,38499000,40914000,40634000,39026000,36222000,35439000,35742000,36497000,37896000,39342000,41281000,42824000,44067000,45697000,46556000
 "00000","United States", ,SAINC7N,705,"445","    Food and beverage stores","Thousands of dollars",50611000,52628000,55246000,56925000,57614000,58362000,58987000,59329000,60953000,63047000,65039000,64854000,65053000,65567000,67294000,68650000,71062000,74659000,76004000,78119000,79876000,82357000
 "00000","United States", ,SAINC7N,706,"446","    Health and personal care stores","Thousands of dollars",20125000,21299000,23117000,24311000,25308000,26457000,28015000,29373000,31102000,33173000,34138000,34564000,35055000,35656000,36785000,37589000,38525000,39936000,41146000,42124000,42820000,43178000
 "00000","United States", ,SAINC7N,707,"447","    Gasoline stations","Thousands of dollars",13528000,14135000,14591000,14911000,14908000,14926000,15206000,15526000,15691000,16234000,16073000,15987000,16056000,16251000,16894000,17221000,18013000,19132000,20048000,20951000,21900000,22992000
 "00000","United States", ,SAINC7N,708,"448","    Clothing and clothing accessories stores","Thousands of dollars",20904000,22082000,23671000,24014000,24753000,25149000,26870000,27745000,28451000,29582000,28970000,26424000,26959000,27348000,28803000,29343000,29967000,30652000,30483000,31581000,32230000,32613000
 "00000","United States", ,SAINC7N,709,"451","    Sporting goods, hobby, musical instrument, and book stores","Thousands of dollars",10255000,10654000,11385000,11643000,11727000,11794000,11841000,11927000,12274000,12529000,12331000,11787000,11726000,11384000,11632000,12232000,12650000,13336000,13195000,13146000,13116000,13037000
 "00000","United States", ,SAINC7N,711,"452","    General merchandise stores","Thousands of dollars",40799000,42888000,46481000,48249000,50319000,53096000,55150000,58019000,60651000,63378000,64677000,65069000,65560000,67725000,69229000,69175000,71257000,73643000,76113000,77394000,79562000,79771000
 "00000","United States", ,SAINC7N,712,"453","    Miscellaneous store retailers","Thousands of dollars",18255000,19665000,20599000,20545000,20111000,20193000,20292000,20318000,20647000,20818000,20199000,18621000,18726000,18940000,19739000,20121000,20868000,21867000,22214000,22852000,23659000,24725000
 "00000","United States", ,SAINC7N,713,"454","    Nonstore retailers","Thousands of dollars",12471000,13911000,15898000,15805000,15116000,15298000,16000000,16911000,17751000,19636000,19678000,19205000,19914000,21275000,23451000,24824000,27944000,30523000,32859000,37205000,41461000,44166000
 "00000","United States", ,SAINC7N,800,"48-49","   Transportation and warehousing","Thousands of dollars",145662000,154615000,164547000,167552000,165218000,167045000,176700000,183722000,193952000,205075000,207073000,192511000,195476000,207371000,219539000,226748000,242297000,259281000,267561000,283879000,305746000,329219000
 "00000","United States", ,SAINC7N,801,"481","    Air transportation","Thousands of dollars",25857000,28010000,30519000,32912000,31140000,29013000,28909000,27139000,27277000,29707000,29206000,27160000,27883000,29945000,30864000,33140000,34327000,37253000,41530000,44471000,46172000,47184000
 "00000","United States", ,SAINC7N,802,"482","    Rail transportation","Thousands of dollars",12651000,12654000,12460000,12215000,11973000,12267000,12958000,13724000,14410000,14895000,15883000,14572000,14246000,15792000,17316000,16583000,18182000,18724000,16708000,16709000,17676000,18033000
 "00000","United States", ,SAINC7N,803,"483","    Water transportation","Thousands of dollars",2534000,2613000,2668000,2788000,2923000,3004000,3289000,3622000,3942000,4539000,4819000,4616000,4687000,4941000,5158000,5307000,5714000,5830000,5550000,5636000,5846000,6048000
 "00000","United States", ,SAINC7N,804,"484","    Truck transportation","Thousands of dollars",44298000,46865000,49317000,49366000,48803000,49605000,53086000,56465000,59910000,61870000,60817000,53889000,54526000,58464000,62208000,64480000,69262000,72998000,73083000,76237000,82196000,85584000
